,sueldo_basico,categoria,ausencias,cantidad_hijos,sueldo
0,33600,C,2,2,37600
1,14200,A,0,0,15570
2,10600,C,2,1,13850
3,16300,C,0,1,19620
4,20900,C,2,1,24150
5,23300,A,0,1,25420
6,66700,A,1,2,69500
7,56200,C,0,0,58770
8,44000,A,1,0,45300
9,78100,A,2,1,80150
10,70900,A,2,0,72200
11,63500,C,0,0,66070
12,21500,A,2,3,25050
13,62700,A,1,0,64000
14,50800,C,2,1,54050
15,17400,B,2,1,20150
16,69600,C,2,2,73600
17,59300,C,0,2,63370
18,44400,B,2,1,47150
19,88300,C,2,2,92300
20,83600,A,2,2,86400
21,86400,A,2,0,87700
22,50400,C,1,0,52900
23,52500,B,2,1,55250
24,76200,B,1,0,78200
25,60100,C,0,2,64170
26,23700,A,2,1,25750
27,26400,B,0,0,28470
28,20400,B,2,0,22400
29,54000,C,1,2,58000
30,28200,A,0,2,31070
31,27100,A,0,2,29970
32,87300,A,0,2,90170
33,46500,B,0,0,48570
34,12000,A,2,0,13300
35,36800,B,2,0,38800
36,33600,A,0,2,36470
37,65200,B,0,1,68020
38,70100,A,0,3,73720
39,28300,C,1,2,32300
40,36800,B,0,1,39620
41,68800,C,0,0,71370
42,54300,C,2,2,58300
43,73200,C,1,0,75700
44,57500,C,2,3,62250
45,88600,C,2,3,93350
46,41000,C,1,3,45750
47,26100,A,2,0,27400
48,89900,C,2,2,93900
49,81100,C,2,2,85100
50,77000,A,1,0,78300
51,23300,A,2,3,26850
52,27400,B,0,3,31720
53,54100,C,2,2,58100
54,21900,C,0,0,24470
55,52000,B,0,3,56320
56,83500,C,0,0,86070
57,60100,A,1,0,61400
58,57200,A,1,0,58500
59,88300,B,2,1,91050
60,17000,C,2,1,20250
61,69600,B,1,3,73850
62,76900,C,1,3,81650
63,76100,B,2,2,79600
64,15400,B,2,0,17400
65,70700,B,2,3,74950
66,14900,A,2,3,18450
67,84100,C,0,1,87420
68,62000,B,1,0,64000
69,60000,C,2,3,64750
70,28400,C,1,3,33150
71,31600,A,0,1,33720
72,56000,C,1,2,60000
73,64500,B,2,2,68000
74,55800,A,1,3,59350
75,11400,B,1,3,15650
76,26700,C,1,3,31450
77,60100,A,2,2,62900
78,84300,B,0,0,86370
79,64500,C,1,1,67750
80,37300,C,1,2,41300
81,34500,B,0,1,37320
82,73000,A,2,1,75050
83,35900,C,0,3,40720
84,29600,B,1,3,33850
85,55500,C,2,0,58000
86,52800,B,0,2,56370
87,82900,C,1,0,85400
88,31600,A,2,2,34400
89,89200,B,0,0,91270
90,74100,B,1,3,78350
91,34500,C,1,0,37000
92,81200,B,0,0,83270
93,65200,C,0,2,69270
94,83200,A,1,1,85250
95,43400,B,2,1,46150
96,53000,B,2,0,55000
97,55600,C,1,3,60350
98,42700,B,2,1,45450
99,39400,B,2,3,43650
100,24200,C,0,0,26770
101,18700,C,1,0,21200
102,15900,B,2,3,20150
103,26000,A,0,0,27370
104,51800,C,0,1,55120
105,40700,B,1,3,44950
106,48000,B,2,2,51500
107,12900,B,0,3,17220
108,60100,C,0,1,63420
109,67500,A,1,1,69550
110,17600,A,0,2,20470
111,29700,B,0,1,32520
112,88900,C,1,0,91400
113,11000,A,0,1,13120
114,16900,A,2,2,19700
115,66300,A,0,3,69920
116,87200,C,1,1,90450
117,71200,B,2,0,73200
118,66400,B,1,0,68400
119,22500,A,2,0,23800
120,82900,A,0,1,85020
121,33500,C,0,0,36070
122,75800,C,0,1,79120
123,45600,A,2,2,48400
124,10600,C,0,0,13170
125,21700,A,2,0,23000
126,57100,A,2,1,59150
127,18500,C,2,2,22500
128,47900,B,2,3,52150
129,65900,C,2,1,69150
130,20800,C,2,0,23300
131,75800,C,1,1,79050
132,56800,C,1,0,59300
133,29700,C,0,1,33020
134,74400,A,2,2,77200
135,81400,A,1,1,83450
136,88800,A,0,1,90920
137,38400,C,0,3,43220
138,54900,A,0,0,56270
139,50700,C,2,1,53950
140,58600,B,1,2,62100
141,19700,B,0,0,21770
142,38800,A,2,3,42350
143,16400,A,2,3,19950
144,84200,B,1,1,86950
145,13700,C,2,3,18450
146,36300,A,0,0,37670
147,63200,A,0,0,64570
148,32100,A,1,0,33400
149,14900,B,2,1,17650
150,49800,C,1,1,53050
151,36600,B,2,1,39350
152,89200,A,1,1,91250
153,44200,A,1,3,47750
154,80800,A,1,1,82850
155,26500,B,2,1,29250
156,46700,C,2,0,49200
157,35100,B,0,3,39420
158,40900,C,0,2,44970
159,68700,A,2,1,70750
160,66600,A,1,1,68650
161,17800,A,1,1,19850
162,42400,B,0,2,45970
163,78700,C,2,3,83450
164,83900,B,2,0,85900
165,59200,C,1,3,63950
166,43200,C,1,1,46450
167,11400,A,2,2,14200
168,35800,B,0,1,38620
169,89700,B,2,1,92450
170,79500,A,2,3,83050
171,29300,B,2,3,33550
172,17600,A,1,3,21150
173,55300,B,1,1,58050
174,72200,C,2,2,76200
175,83500,C,1,0,86000
176,18600,C,2,2,22600
177,59100,C,0,0,61670
178,37700,B,1,1,40450
179,64600,A,1,1,66650
180,10500,C,1,1,13750
181,25600,C,2,3,30350
182,84600,C,1,0,87100
183,40800,A,1,3,44350
184,11200,B,2,3,15450
185,54600,C,2,3,59350
186,52700,A,1,1,54750
187,25000,C,0,2,29070
188,48600,B,1,2,52100
189,79500,C,2,1,82750
190,86400,C,2,0,88900
191,80300,B,1,1,83050
192,74200,B,1,1,76950
193,34700,A,2,2,37500
194,14900,C,0,1,18220
195,17900,C,1,2,21900
196,46600,A,0,1,48720
197,68300,A,1,0,69600
198,41800,C,0,1,45120
199,58200,C,2,0,60700
200,62000,B,1,0,64000
201,51400,C,0,1,54720
202,48400,C,2,3,53150
203,60100,A,0,0,61470
204,43300,C,0,2,47370
205,24500,C,0,2,28570
206,51300,A,0,1,53420
207,45100,C,2,0,47600
208,20900,B,1,3,25150
209,63300,B,0,2,66870
210,45800,C,0,0,48370
211,71100,C,1,2,75100
212,51300,C,1,2,55300
213,21800,A,2,0,23100
214,12900,C,0,1,16220
215,28900,C,2,1,32150
216,54800,A,2,0,56100
217,55900,C,1,1,59150
218,78100,A,2,1,80150
219,55000,B,2,2,58500
220,10900,B,1,3,15150
221,64100,A,0,0,65470
222,86500,C,2,0,89000
223,37900,B,2,0,39900
224,52800,A,2,2,55600
225,19900,A,1,3,23450
226,27300,C,0,2,31370
227,60300,B,1,0,62300
228,74000,C,2,2,78000
229,32400,C,1,1,35650
230,86600,A,1,2,89400
231,23500,C,0,1,26820
232,81500,A,1,3,85050
233,60900,B,2,3,65150
234,66300,A,1,3,69850
235,71300,A,0,3,74920
236,72300,C,2,2,76300
237,80300,A,0,3,83920
238,84900,B,0,0,86970
239,20700,C,0,1,24020
240,34200,B,0,3,38520
241,28400,B,1,2,31900
242,27500,C,1,2,31500
243,51000,A,0,2,53870
244,75200,B,2,3,79450
245,31000,C,2,0,33500
246,15800,B,0,1,18620
247,74100,A,1,2,76900
248,66300,A,0,1,68420
249,59900,B,1,2,63400
250,70800,A,2,0,72100
251,44000,A,0,0,45370
252,21600,C,2,0,24100
253,31500,B,0,3,35820
254,26900,C,0,1,30220
255,72400,C,1,2,76400
256,71400,C,1,2,75400
257,36300,A,1,0,37600
258,40500,C,1,0,43000
259,79800,C,0,2,83870
260,67000,C,1,1,70250
261,45000,C,2,1,48250
262,39700,C,2,0,42200
263,11000,C,1,2,15000
264,32800,A,0,2,35670
265,37000,C,2,0,39500
266,76600,B,2,3,80850
267,12200,B,2,3,16450
268,69500,C,0,3,74320
269,20600,A,0,0,21970
270,20700,A,1,2,23500
271,54800,A,2,2,57600
272,48000,A,2,0,49300
273,45000,A,1,0,46300
274,89200,B,0,3,93520
275,27500,A,0,3,31120
276,47300,B,0,0,49370
277,66400,B,2,2,69900
278,46700,B,2,2,50200
279,80800,B,2,1,83550
280,75600,B,1,0,77600
281,58400,A,0,2,61270
282,13300,B,0,1,16120
283,25600,B,0,0,27670
284,28800,C,2,2,32800
285,81000,C,2,1,84250
286,18200,A,1,2,21000
287,15400,B,2,1,18150
288,85000,C,2,1,88250
289,29500,B,1,2,33000
290,46600,B,2,2,50100
291,43900,A,2,1,45950
292,39200,B,1,1,41950
293,76000,B,0,3,80320
294,58300,C,2,2,62300
295,49600,B,2,1,52350
296,56100,C,0,1,59420
297,53800,B,0,2,57370
298,72600,A,1,2,75400
299,21200,B,0,1,24020
300,62000,C,2,2,66000
301,24800,B,1,1,27550
302,61800,C,1,2,65800
303,68600,A,2,3,72150
304,81900,C,1,1,85150
305,14500,A,0,1,16620
306,35000,A,2,0,36300
307,63100,C,0,1,66420
308,56000,B,0,3,60320
309,58200,A,2,1,60250
310,27900,C,0,3,32720
311,13700,C,0,3,18520
312,58000,C,1,0,60500
313,47500,A,0,3,51120
314,17800,B,1,0,19800
315,14100,C,0,0,16670
316,83400,A,2,1,85450
317,42300,C,2,2,46300
318,16000,A,1,1,18050
319,73600,A,0,3,77220
320,36000,A,1,2,38800
321,72600,C,0,3,77420
322,45600,A,0,1,47720
323,44100,B,1,0,46100
324,76500,B,2,2,80000
325,34200,C,0,1,37520
326,87300,B,1,0,89300
327,81700,A,2,2,84500
328,77500,C,2,0,80000
329,29200,A,0,2,32070
330,60300,A,2,3,63850
331,41900,B,0,2,45470
332,72400,A,0,1,74520
333,44600,C,2,0,47100
334,75000,C,1,0,77500
335,72700,B,2,2,76200
336,18800,C,0,2,22870
337,46100,C,2,3,50850
338,69900,C,2,1,73150
339,43400,C,1,1,46650
340,57400,B,1,3,61650
341,65000,A,1,2,67800
342,63200,B,2,0,65200
343,47100,B,2,1,49850
344,54700,A,0,0,56070
345,47600,A,1,3,51150
346,12600,C,0,2,16670
347,88300,C,0,0,90870
348,31200,B,2,0,33200
349,85200,A,2,2,88000
350,41500,A,2,1,43550
351,62800,C,2,3,67550
352,24000,C,2,3,28750
353,62800,B,0,0,64870
354,65000,B,1,0,67000
355,38000,B,1,0,40000
356,84200,B,0,0,86270
357,39500,A,2,2,42300
358,82100,B,1,3,86350
359,16900,C,1,1,20150
360,31300,B,1,2,34800
361,48600,A,0,1,50720
362,43500,A,1,2,46300
363,80800,A,2,3,84350
364,61700,B,2,0,63700
365,30000,C,2,2,34000
366,15000,C,2,3,19750
367,43300,C,2,3,48050
368,16700,B,0,3,21020
369,61200,C,1,0,63700
370,30900,A,2,2,33700
371,71600,A,1,2,74400
372,46800,C,0,2,50870
373,77400,C,1,0,79900
374,66000,B,1,1,68750
375,40900,A,2,1,42950
376,29800,B,1,1,32550
377,38200,B,1,1,40950
378,84000,C,0,3,88820
379,17200,A,0,3,20820
380,23900,A,1,0,25200
381,87000,C,2,0,89500
382,74700,C,0,0,77270
383,55200,A,1,3,58750
384,56300,C,2,1,59550
385,55600,A,2,3,59150
386,32900,B,0,2,36470
387,48600,C,1,0,51100
388,67600,C,0,1,70920
389,58900,B,1,2,62400
390,79900,A,1,1,81950
391,83000,A,2,2,85800
392,45300,C,1,3,50050
393,64800,B,1,2,68300
394,88900,C,0,2,92970
395,62600,A,2,1,64650
396,32100,A,1,3,35650
397,37000,B,1,3,41250
398,68200,C,0,1,71520
399,33800,A,2,2,36600
400,23900,A,0,3,27520
401,15200,B,1,0,17200
402,81300,B,2,3,85550
403,42200,B,1,1,44950
404,57000,B,2,0,59000
405,87200,C,2,1,90450
406,75500,C,0,1,78820
407,73000,A,0,2,75870
408,67500,C,1,3,72250
409,81300,B,1,3,85550
410,64500,C,0,2,68570
411,87600,C,2,3,92350
412,14300,B,1,0,16300
413,61800,C,0,3,66620
414,34000,B,0,1,36820
415,31500,C,2,3,36250
